0.1,10,10,11
0.1,0,13,6
0.1,0.15489314076691477,0.10268138089680733,0.16052831966766754
0.001,13,14,16
0.001,3,3,2
0.001,0.17506513083813602,0.1301618781013193,0.19237122732154924
1e-05,13,14,17
1e-05,3,3,3
1e-05,0.17506513083813602,0.1301618781013193,0.19931836482292203
1e-10,14,15,17
1e-10,3,3,3
1e-10,0.18182087458742116,0.16219435670964977,0.19931836482292203
1e-15,15,15,20
1e-15,3,3,2
1e-15,0.1899642230393419,0.16219435670964977,0.23502423637310663
1e-20,15,16,22
1e-20,3,3,2
1e-20,0.1899642230393419,0.16895010045893488,0.24719414480942423
1e-25,15,17,22
1e-25,3,3,2
1e-25,0.1899642230393419,0.17400107271641052,0.24719414480942423
1e-30,15,17,22
1e-30,3,3,2
1e-30,0.1899642230393419,0.17400107271641052,0.24719414480942423
1e-35,15,18,22
1e-35,3,3,2
1e-35,0.1899642230393419,0.18006141916644375,0.24719414480942423
1e-40,15,19,22
1e-40,3,3,2
1e-40,0.1899642230393419,0.18677022587652642,0.24719414480942423
1e-45,15,19,22
1e-45,3,3,2
1e-45,0.1899642230393419,0.18677022587652642,0.24719414480942423
1e-50,16,19,22
1e-50,3,3,2
1e-50,0.19501519529681755,0.18677022587652642,0.24719414480942423
1e-55,16,19,23
1e-55,3,3,2
1e-55,0.19501519529681755,0.18677022587652642,0.2560488400399375
1e-60,16,19,23
1e-60,3,3,2
1e-60,0.19501519529681755,0.18677022587652642,0.2560488400399375
1e-65,17,19,24
1e-65,3,3,2
1e-65,0.2038698905273308,0.18677022587652642,0.26275764675002017
1e-70,18,19,24
1e-70,3,3,2
1e-70,0.2107008246792218,0.18677022587652642,0.26275764675002017
1e-75,20,19,24
1e-75,2,3,2
1e-75,0.2553219994814141,0.18677022587652642,0.26275764675002017
1e-80,20,21,24
1e-80,2,3,2
1e-80,0.2553219994814141,0.21056548195453123,0.26275764675002017
1e-85,20,21,24
1e-85,2,3,2
1e-85,0.2553219994814141,0.21056548195453123,0.26275764675002017
1e-90,21,21,24
1e-90,2,3,2
1e-90,0.281183852382556,0.21056548195453123,0.26275764675002017
1e-95,21,21,24
1e-95,2,3,2
1e-95,0.281183852382556,0.21056548195453123,0.26275764675002017
1e-100,22,21,24
1e-100,2,3,2
1e-100,0.2867716385446966,0.21056548195453123,0.26275764675002017
