pbcIndex;aseIndex;x;y;d;energy;prePES;bondLengthRatio;energy. after 3 steps;energy. after 6 steps;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu;;;;;;;;;;;;;;;;;;blr;nsw6;-825,0156448;;energy;-826,7627867;;diffPES;diffPES;-828,5366362;prePESfltrd
19;19;0.2375;0.0;0.4;-826.3;-809.90886511;26.001957655784491;-737.69500241;-820;65799;151;1163;2519;;;;;;;;;;;;;;;;;;26.001957655784491;-820;-820;-820;-826.3;-826,3;-826,3;-6,3;-6.29999999999995;-809,9088651;-809,9088651
20;20;0.25;0.0;0.4;-826.23839512;-812.03875933;25.940298272959854;-800.96286533;-819.99218208;18468;152;1221;1913;;;;;;;;;;;;;;;;;;25.940298272959854;-819.99218208;-819,9921821;-819,9921821;-826.23839512;-826,2383951;-826,2383951;-6,24621304;-6.24621303999993;-812,0387593;-812,0387593
21;21;0.2625;0.0;0.4;-826.12941506;-814.12163635;25.798341522890265;-818.46094447;-819.94584433;21353;147;855;1311;;;;;;;;;;;;;;;;;;25.798341522890265;-819.94584433;-819,9458443;-819,9458443;-826.12941506;-826,1294151;-826,1294151;-6,18357073;-6.18357073000004;-814,1216364;-814,1216364
22;22;0.275;0.0;0.4;-825.97796312;-816.09484556;25.617541644713864;-819.23178551;-822.93494088;18149;161;1111;1720;;;;;;;;;;;;;;;;;;25.617541644713864;-822.93494088;-822,9349409;-822,9349409;-825.97796312;-825,9779631;-825,9779631;-3,04302224;-3.04302224000003;-816,0948456;-816,0948456
23;23;0.2875;0.0;0.4;-825.78538389;-817.56875845;25.419635931023887;-819.88941235;-822.86179001;19399;161;1130;1699;;;;;;;;;;;;;;;;;;25.419635931023887;-822.86179001;-822,86179;-822,86179;-825.78538389;-825,7853839;-825,7853839;-2,92359388;-2.92359388;-817,5687585;-817,5687585
24;24;0.3;0.0;0.4;-825.56623035;-818.68036597;25.228880304335444;-820.13413992;-823.88123431;17105;187;1456;2294;;;;;;;;;;;;;;;;;;25.228880304335444;-823.88123431;-823,8812343;-823,8812343;-825.56623035;-825,5662304;-825,5662304;-1,68499604;-1.68499603999999;-818,680366;-818,680366
25;25;0.3125;0.0;0.4;-825.30454931;-819.22640608;24.983486147110526;-820.16955523;-823.73125758;26123;209;935;1575;;;;;;;;;;;;;;;;;;24.983486147110526;-823.73125758;-823,7312576;-823,7312576;-825.30454931;-825,3045493;-825,3045493;-1,57329173;-1.57329172999994;-819,2264061;-819,2264061
26;26;0.325;0.0;0.4;-824.99555283;-819.43275713;24.651241085081701;-819.99867848;-823.37514149;24409;203;884;1457;;;;;;;;;;;;;;;;;;24.651241085081701;-823.37514149;-823,3751415;-823,3751415;-824.99555283;-824,9955528;-824,9955528;-1,62041134;-1.62041133999992;-819,4327571;-819,4327571
27;27;0.3375;0.0;0.4;-824.67283385;-819.16183298;24.297999908419833;-819.56338287;-823.00649071;21539;166;916;1573;;;;;;;;;;;;;;;;;;24.297999908419833;-823.00649071;-823,0064907;-823,0064907;-824.67283385;-824,6728339;-824,6728339;-1,66634314;-1.66634313999998;-819,161833;-819,161833
28;28;0.35;0.0;0.4;-824.30580426;-818.71974566;23.989211848867981;-818.97186955;-822.61528589;26055;177;921;1583;;;;;;;;;;;;;;;;;;23.989211848867981;-822.61528589;-822,6152859;-822,6152859;-824.30580426;-824,3058043;-824,3058043;-1,69051837;-1.69051836999995;-818,7197457;-818,7197457
29;29;0.3625;0.0;0.4;-823.87987139;-817.98566636;23.723793894272621;-818.30023112;-822.20107681;20781;263;870;1555;;;;;;;;;;;;;;;;;;23.723793894272621;-822.20107681;-822,2010768;-822,2010768;-823.87987139;-823,8798714;-823,8798714;-1,67879458;-1.67879457999993;-817,9856664;-817,9856664
30;30;0.375;0.0;0.4;-823.44229612;-817.27809765;23.553795509282018;-817.60602911;-821.72509731;16587;327;908;1562;;;;;;;;;;;;;;;;;;23.553795509282018;-821.72509731;-821,7250973;-821,7250973;-823.44229612;-823,4422961;-823,4422961;-1,71719881;-1.71719881000001;-817,2780977;-817,2780977
31;31;0.3875;0.0;0.4;-822.96369474;-816.43168156;23.751982135278205;-816.93072247;-821.20122787;22348;203;873;1561;;;;;;;;;;;;;;;;;;23.751982135278205;-821.20122787;-821,2012279;-821,2012279;-822.96369474;-822,9636947;-822,9636947;-1,76246687;-1.76246687000003;-816,4316816;-816,4316816
32;32;0.4;0.0;0.4;-822.46446505;-815.74863669;23.927295592944272;-816.29813762;-820.64739365;17048;181;707;1274;;;;;;;;;;;;;;;;;;23.927295592944272;-820.64739365;-820,6473937;-820,6473937;-822.46446505;-822,4644651;-822,4644651;-1,8170714;-1.81707139999992;-815,7486367;-815,7486367
33;33;0.4125;0.0;0.4;-821.98519587;-814.99721772;23.923637685532047;-815.73997582;-820.04827056;17161;193;687;1255;;;;;;;;;;;;;;;;;;23.923637685532047;-820.04827056;-820,0482706;-820,0482706;-821.98519587;-821,9851959;-821,9851959;-1,93692531;-1.93692530999999;-814,9972177;-814,9972177
34;34;0.425;0.0;0.4;-821.51243117;-814.4436624;24.169835439772307;-815.26087026;-819.3864391;17216;235;682;1258;;;;;;;;;;;;;;;;;;24.169835439772307;-819.38643910;-819,3864391;-819,3864391;-821.51243117;-821,5124312;-821,5124312;-2,12599207;-2.12599207000005;-814,4436624;-814,4436624
35;35;0.4375;0.0;0.4;-821.06988720;-813.8349718;24.602062456126554;-814.86643747;-818.69074179;18272;192;676;1274;;;;;;;;;;;;;;;;;;24.602062456126554;-818.69074179;-818,6907418;-818,6907418;-821.06988720;-821,0698872;-821,0698872;-2,37914541;-2.37914541000009;-813,8349718;-813,8349718
36;36;0.45;0.0;0.4;-820.66416887;-813.38574757;25.052117159757476;-814.54987864;-818.06363264;30006;207;719;1332;;;;;;;;;;;;;;;;;;25.052117159757476;-818.06363264;-818,0636326;-818,0636326;-820.66416887;-820,6641689;-820,6641689;-2,60053623;-2.60053622999999;-813,3857476;-813,3857476
37;37;0.4625;0.0;0.4;-820.30398513;-812.82115066;25.519721848127286;-814.27500906;-817.71352906;30695;207;1048;1788;;;;;;;;;;;;;;;;;;25.519721848127286;-817.71352906;-817,7135291;-817,7135291;-820.30398513;-820,3039851;-820,3039851;-2,59045607;-2.59045606999996;-812,8211507;-812,8211507
38;38;0.475;0.0;0.4;-819.97149752;-812.52049051;25.983158710140387;-814.01058120;-817.40474946;42265;181;1061;1663;;;;;;;;;;;;;;;;;;25.983158710140387;-817.40474946;-817,4047495;-817,4047495;-819.97149752;-819,9714975;-819,9714975;-2,56674806;-2.56674806000001;-812,5204905;-812,5204905
39;39;0.4875;0.0;0.4;-819.67335406;-811.75760574;26.407067002625993;-813.68771605;-816.75340364;44505;335;1155;1894;;;;;;;;;;;;;;;;;;26.407067002625993;-816.75340364;-816,7534036;-816,7534036;-819.67335406;-819,6733541;-819,6733541;-2,91995042;-2.91995041999996;-811,7576057;-811,7576057
40;40;0.5;0.0;0.4;-819.39641325;-811.12052611;26.851385143587795;-813.20068381;-815.97665521;56752;322;1284;2028;;;;;;;;;;;;;;;;;;26.851385143587795;-815.97665521;-815,9766552;-815,9766552;-819.39641325;-819,3964133;-819,3964133;-3,41975804;-3.41975804000003;-811,1205261;-811,1205261
41;41;0.5125;0.0;0.4;-818.96798731;-810.21495617;27.121696970189237;-812.61981487;-815.00700998;26728;341;1285;2076;;;;;;;;;;;;;;;;;;27.121696970189237;-815.00700998;-815,00701;-815,00701;-818.96798731;-818,9679873;-818,9679873;-3,96097733;-3.96097732999999;-810,2149562;-810,2149562
42;42;0.525;0.0;0.4;-818.77912796;-809.22124748;27.349206033533768;-811.98046278;-814.19373044;37553;289;1416;2316;;;;;;;;;;;;;;;;;;27.349206033533768;-814.19373044;-814,1937304;-814,1937304;-818.77912796;-818,779128;-818,779128;-4,58539752;-4.58539752000001;-809,2212475;-809,2212475
43;43;0.5375;0.0;0.4;-818.60921848;-807.76361328;27.400291384155086;-811.17492871;-813.84580466;33801;444;1065;1809;;;;;;;;;;;;;;;;;;27.400291384155086;-813.84580466;-813,8458047;-813,8458047;-818.60921848;-818,6092185;-818,6092185;-4,76341382;-4.91698205;-807,7636133;-807,7636133
44;44;0.55;0.0;0.4;-818.46231568;-806.02190695;27.451263565452841;-809.96347446;-814.45820179;33612;305;1215;2044;;;;;;;;;;;;;;;;;;27.451263565452841;-814.45820179;-814,4582018;-814,4582018;-818.46231568;-818,4623157;-818,4623157;-4,00411389;-4.30458492000002;-806,021907;-806,021907
45;45;0.5625;0.0;0.4;-818.33546757;-803.71377937;27.512013749730176;-808.37176440;-814.29091475;42428;237;986;1804;;;;;;;;;;;;;;;;;;27.512013749730176;-814.29091475;-814,2909148;-814,2909148;-818.33546757;-818,3354676;-818,3354676;-4,04455282;-4.47187196000004;-803,7137794;-803,7137794
46;46;0.575;0.0;0.4;-818.23136185;-801.07703342;27.511320088638008;-806.71743482;-813.01564481;61954;293;1120;1797;;;;;;;;;;;;;;;;;;27.511320088638008;-810.40656158;-810,4065616;-813,0156448;-818.23136185;-818,2313619;-818,2313619;-5,21571704;-5.74714189999997;-801,0770334;-801,0770334
47;47;0.5875;0.0;0.4;-813.03613099;-795.01564481;27.503133491692427;-805.75005240;-813.01564481;18327;277;1098;1682;;;;;;;;;;;;;;;;;;27.503133491692427;-810.16829739;-810,1682974;-813,0156448;-813.03613099;-813,036131;-816,7627867;-3,7471419;-5.74714189999997;-797,8372417;-795,0156448
48;48;0.6;0.0;0.4;-813.17128848;-795.01564481;27.419432516943772;-805.21140241;-813.01564481;17391;174;923;1494;;;;;;;;;;;;;;;;;;27.419432516943772;-811.70295389;-811,7029539;-813,0156448;-813.17128848;-813,1712885;-816,7627867;-3,7471419;-5.74714189999997;-794,2829215;-795,0156448
49;49;0.6125;0.0;0.4;-813.26772259;-795.01564481;27.255242256889698;-804.26965824;-813.01564481;32786;194;940;1519;;;;;;;;;;;;;;;;;;27.255242256889698;-810.25213746;-810,2521375;-813,0156448;-813.26772259;-813,2677226;-816,7627867;-3,7471419;-5.74714189999997;-790,0037665;-795,0156448
50;50;0.625;0.0;0.4;-813.34555104;-795.01564481;27.21059655044407;-800.73957764;-813.01564481;22970;193;908;1488;;;;;;;;;;;;;;;;;;27.21059655044407;-804.24025680;-804,2402568;-813,0156448;-813.34555104;-813,345551;-816,7627867;-3,7471419;-5.74714189999997;-785,1642207;-795,0156448
51;51;0.6375;0.0;0.4;-813.41527264;-795.01564481;27.174097708703211;-802.06143979;-813.01564481;26941;153;1410;1923;;;;;;;;;;;;;;;;;;27.174097708703211;-804.00045728;-804,0004573;-813,0156448;-813.41527264;-813,4152726;-816,7627867;-3,7471419;-5.74714189999997;-779,5908364;-795,0156448
52;52;0.65;0.0;0.4;-780.82746005;-795.01564481;27.152024857298116;-716.10240487;-813.01564481;83388;186;1335;2509;;;;;;;;;;;;;;;;;;27.152024857298116;-757.30091136;-757,3009114;-813,0156448;-780.82746005;-780,8274601;-816,7627867;-3,7471419;-5.74714189999997;-773,8356831;-795,0156448
53;53;0.6625;0.0;0.4;-817.77345691;-795.01564481;27.178561711163518;-279.19324137;-813.01564481;30483;148;1152;1861;;;;;;;;;;;;;;;;;;27.178561711163518;-779.49072021;-779,4907202;-813,0156448;-817.77345691;-817,7734569;-817,7734569;-4,7578121;-5.74714189999997;-768,2149596;-795,0156448
54;54;0.675;0.0;0.4;-790.26660072;-795.01564481;27.261518433513068;-403.13810602;-813.01564481;50976;148;1539;3649;;;;;;;;;;;;;;;;;;27.261518433513068;-561.20717077;-561,2071708;-813,0156448;-790.26660072;-790,2666007;-816,7627867;-3,7471419;-5.74714189999997;-763,6660287;-795,0156448
55;55;0.6875;0.0;0.4;-758.30714538;-795.01564481;27.367545592433732;-618.45924415;-813.01564481;70293;147;1558;3373;;;;;;;;;;;;;;;;;;27.367545592433732;-618.45924415;-618,4592442;-813,0156448;-758.30714538;-758,3071454;-816,7627867;-3,7471419;-5.74714189999997;-760,6381601;-795,0156448
56;56;0.7;0.0;0.4;-776.36958800;-795.01564481;27.450858270606812;-586.85230927;-813.01564481;70293;187;1570;4204;;;;;;;;;;;;;;;;;;27.450858270606812;-181.62602613;-181,6260261;-813,0156448;-776.36958800;-776,369588;-816,7627867;-3,7471419;-5.74714189999997;-759,8818542;-795,0156448
57;57;0.7125;0.0;0.4;-758.87589035;-795.01564481;27.339881433508438;-618.76132172;-813.01564481;70293;187;1573;3415;;;;;;;;;;;;;;;;;;27.339881433508438;-618.76132172;-618,7613217;-813,0156448;-758.87589035;-758,8758904;-816,7627867;-3,7471419;-5.74714189999997;-761,3393819;-795,0156448
58;58;0.725;0.0;0.4;-793.09572583;-795.01564481;27.22865318653924;-381.79264209;-813.01564481;100036;188;1686;4088;;;;;;;;;;;;;;;;;;27.22865318653924;-624.38881985;-624,3888199;-813,0156448;-793.09572583;-793,0957258;-816,7627867;-3,7471419;-5.74714189999997;-765,0633281;-795,0156448
59;59;0.7375;0.0;0.4;-817.59935657;-795.01564481;27.107534653826871;-281.13461831;-813.01564481;26588;187;1596;2457;;;;;;;;;;;;;;;;;;27.107534653826871;-781.87265467;-781,8726547;-813,0156448;-817.59935657;-817,5993566;-817,5993566;-4,58371176;-5.74714189999997;-770,2975072;-795,0156448
60;60;0.75;0.0;0.4;-786.86284210;-795.01564481;26.97395992538695;-716.61181802;-813.01564481;45675;165;1280;2363;;;;;;;;;;;;;;;;;;26.97395992538695;-759.90203801;-759,902038;-813,0156448;-786.86284210;-786,8628421;-816,7627867;-3,7471419;-5.74714189999997;-776,5779219;-795,0156448
