pbcIndex;aseIndex;x;y;d;energy;prePES;blr;nsw3;nsw6;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu
66;66;0.825;0.5;0.3;-796.74746665;-795.69203975;24.6944232558467;-585.15917237;-812.49241939;2669;242;1890;2669
67;67;0.8375;0.5;0.3;-817.27280784;-795.69203975;25.7851176524388;-729.88284963;-812.49241939;79457;225;1273;2169
68;68;0.85;0.5;0.3;-817.21615782;-795.69203975;24.5750169357523;-805.22064445;-812.49241939;54956;241;1214;1799
69;69;0.8625;0.5;0.3;-817.29932763;-795.69203975;24.5226754081233;-806.2194288;-812.49241939;58586;200;981;1463
70;70;0.875;0.5;0.3;-817.25264686;-795.96340504;24.5800012852554;-807.28893365;-812.49241939;56699;265;1301;1773
71;71;0.8875;0.5;0.3;-817.28005092;-800.39583641;24.2777309065527;-808.52666393;-812.49241939;42188;265;756;1175
72;72;0.9;0.5;0.3;-817.31095683;-803.9674783;24.3960795301138;-809.77271419;-813.42357182;46513;267;870;1500
73;73;0.9125;0.5;0.3;-817.36506278;-806.50398056;24.4671925303994;-810.77438827;-812.92817717;59515;277;696;1182
74;74;0.925;0.5;0.3;-817.40966553;-808.74235045;24.5571465522665;-811.55397554;-813.42028258;61435;227;698;1184
75;75;0.9375;0.5;0.3;-817.45433012;-810.3525284;24.6660412197579;-812.17177816;-813.88105629;59200;182;830;1430
76;76;0.95;0.5;0.3;-817.45187068;-811.92821432;24.7565795600495;-812.67273424;-814.3496746;43038;186;753;1269
77;77;0.9625;0.5;0.3;-817.5676768;-813.02757325;24.8372158070044;-813.19328901;-814.79481269;69629;211;764;1316
78;78;0.975;0.5;0.3;-817.64976872;-814.15933266;25.8527669317603;-813.66532869;-815.24416101;43410;203;739;1253
79;79;0.9875;0.5;0.3;-817.79031582;-814.80215871;25.5232919202777;-814.10501343;-815.65330685;43009;204;792;1342
